Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2025-02-09 10:05:05,British Columbia B,2025-02-09,10:04,0,5,7,Loss,3,2,25,11,14,85,20,16,4,5,14,0,0
2025-02-15 08:01:31,Grand Canyon,2025-02-15,08:01,0,7,12,Loss,7,0,34,28,6,156,26,20,6,10,14,0,0
2025-03-15 08:03:45,California (B),2025-03-15,08:03,0,10,6,Win,6,4,23,12,11,82,13,9,4,8,8,0,0
2025-02-16 09:04:07,Arizona,2025-02-16,09:03,0,11,7,Win,6,5,23,14,9,79,12,10,2,8,9,0,0
2025-03-16 09:02:10,Humboldt,2025-03-16,09:01,0,10,7,Win,7,3,28,19,9,165,18,15,3,8,12,0,0
2025-03-15 11:03:36,Wavestorm,2025-03-15,11:03,0,9,8,Win,5,4,19,9,10,131,10,7,3,5,5,0,0
2025-03-16 10:32:29,Wavestorm,2025-03-16,10:32,0,7,8,Loss,5,2,21,16,5,133,14,13,1,9,4,0,0
2025-02-08 13:05:29,Oak Storm,2025-02-08,13:05,0,11,5,Win,4,7,21,8,13,83,11,6,5,7,10,0,0
2025-02-09 08:33:51,Wavestorm,2025-02-09,08:33,0,10,9,Win,6,4,26,17,9,100,16,10,6,11,5,0,0
2025-02-08 14:34:37,California B,2025-02-08,14:34,0,11,7,Win,6,5,23,8,15,76,13,8,6,9,8,1,0
2025-02-15 09:37:20,Irvine,2025-02-15,09:37,0,7,10,Loss,6,1,22,20,2,117,15,13,2,5,8,0,0
2025-02-15 20:01:50,Southern California,2025-02-15,20:01,0,9,10,Loss,7,2,19,15,4,110,10,9,1,6,4,0,0
2025-02-16 12:01:46,Arizona State,2025-02-16,12:01,0,8,7,Win,4,4,30,10,20,88,22,13,10,9,15,0,0
2025-03-15 09:32:39,Humboldt,2025-03-15,09:32,0,11,7,Win,6,5,29,12,17,145,18,15,3,12,9,0,0
2025-03-15 12:33:11,Chico,2025-03-15,12:33,0,12,6,Win,6,6,24,12,12,117,12,9,3,7,10,0,0
2025-02-09 11:34:45,San Diego State,2025-02-09,11:34,0,7,9,Loss,7,0,21,13,8,88,14,13,1,4,7,0,0
2025-02-08 11:32:47,Humboldt,2025-02-08,11:32,0,13,3,Win,4,9,24,4,20,62,11,8,3,12,8,0,0